23687 5.236475641838637e-06
12035 4.196998254404080e-06
72072 2.639887990776741e-06
58000 1.882549925883688e-06
49904 1.386022471062441e-06
38821 9.977217465916501e-07
70836 6.739001978298767e-07
24287 6.020597076648732e-07
54065 4.869384308510482e-07
12196 4.510785389578217e-07
12396 4.142414327236872e-07
11944 4.330033971484493e-08
12476 4.330033971484493e-08
14541 4.330033971484493e-08
15478 4.330033971484493e-08
17369 4.330033971484493e-08
19416 4.330033971484493e-08
19557 4.330033971484493e-08
19877 4.330033971484493e-08
29668 4.330033971484493e-08
29887 4.330033971484493e-08
29889 4.330033971484493e-08
29909 4.330033971484493e-08
32351 4.330033971484493e-08
32380 4.330033971484493e-08
3628 4.330033971484493e-08
41149 4.330033971484493e-08
8162 4.330033971484493e-08
83863 4.330033971484493e-08
8506 4.330033971484493e-08
9490 4.330033971484493e-08
9717 4.330033971484493e-08
